name,cation,anion,sigma_calc
IL_1,CCn1cc[n+](C)c1,N#C[N-]C#N,0.597600396
IL_2,C=CC[N+](C)(C)CC,N#C[N-]C#N,0.497094579
IL_3,CCCn1cc[n+](C)c1,N#C[N-]C#N,0.409835799
IL_4,CC[n+]1ccccc1,N#C[N-]C#N,0.635547595
IL_5,CCCC[n+]1ccccc1,N#C[N-]C#N,0.295109784
IL_6,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,0.116151202
IL_7,CCC[n+]1ccccc1,N#C[N-]C#N,0.369322516
IL_8,CCCCn1cc[n+](C)c1,N#C[N-]C#N,0.238487069
IL_9,CCCC[n+]1ccccc1,N#C[N-]C#N,0.276216578
IL_10,CCCC[n+]1cccc(C)c1,N#C[N-]C#N,0.30552372
IL_11,CCCCCn1cc[n+](C)c1,N#C[N-]C#N,0.156786186
IL_12,CCCCC[n+]1ccccc1,N#C[N-]C#N,0.204751508
IL_13,CCCCCCn1cc[n+](C)c1,N#C[N-]C#N,0.097371639
IL_14,N#CCCC[n+]1ccccc1,N#C[N-]C#N,0.02023343
IL_15,CCCCCC[n+]1ccccc1,N#C[N-]C#N,0.102570296
IL_16,CCCC[N+]1(C)CCOCC1,N#C[N-]C#N,0.010676195
IL_17,CCC[N+]1(C)CCOCC1,N#C[N-]C#N,0.016877262
IL_18,CCCCCC[N+]1(C)CCOCC1,N#C[N-]C#N,0.011224173
IL_19,CCCCC[N+]1(C)CCOCC1,N#C[N-]C#N,0.011053622
IL_20,CCCCCCC[N+]1(C)CCOCC1,N#C[N-]C#N,0.004075641
IL_21,CCCCCCCC[N+]1(C)CCOCC1,N#C[N-]C#N,0.009180205